players,goals
"Harry Kane",25
"Jamie Vardy",24
"Sergio Agüero",24
"Romelu Lukaku",18
"Riyad Mahrez",17
"Olivier Giroud",16
"Jermain Defoe",15
"Odion Ighalo",15
"Alexis Sánchez",13
"Troy Deeney",13
"André Ayew",12
"Diego Costa",12
"Anthony Martial",11
"Georginio Wijnaldum",11
"Graziano Pellè",11
"Gylfi Sigurdsson",11
"Marko Arnautovic",11
"Sadio Mané",11
"Dele Alli",10
"Roberto Firmino",10
"Shane Long",10
"Aleksandar Mitrovic",9
"Andy Carroll",9
"Christian Benteke",9
"Dimitri Payet",9
"Salomón Rondón",9
"Daniel Sturridge",8
"Kelechi Iheanacho",8
"Michail Antonio",8
"Philippe Coutinho",8
"Ross Barkley",8
"Wayne Rooney",8
Bojan,7
"Dieumerci Mbokani",7
"Dusan Tadic",7
"Jordan Ayew",7
"Kevin De Bruyne",7
"Mark Noble",7
Pedro,7
"Ayoze Pérez",6
"Bafétimbi Gomis",6
"Christian Eriksen",6
"Joshua King",6
"Juan Mata",6
"Leonardo Ulloa",6
"Manuel Lanzini",6
"Mesut Özil",6
"Nathan Redmond",6
"Raheem Sterling",6
"Yaya Touré",6
"Aaron Lennon",5
"Aaron Ramsey",5
"Arouna Koné",5
"Callum Wilson",5
"Cesc Fàbregas",5
"Cheikhou Kouyaté",5
"Connor Wickham",5
"Diafra Sakho",5
"Divock Origi",5
"Erik Lamela",5
"Fabio Borini",5
"James Milner",5
"Jonathan Walters",5
"Mame Biram Diouf",5
"Marcus Rashford",5
"Rudy Gestede",5
"Scott Dann",5
"Shinji Okazaki",5
"Steven Davis",5
"Theo Walcott",5
Willian,5
"Yannick Bolasie",5
"Yohan Cabaye",5
"Adam Lallana",4
"Andros Townsend",4
"Benik Afobe",4
"Craig Dawson",4
"Danny Welbeck",4
"Eden Hazard",4
"Enner Valencia",4
"Jesse Lingard",4
Joselu,4
"Kevin Mirallas",4
"Laurent Koscielny",4
"Matt Ritchie",4
"Patrick van Aanholt",4
"Ramiro Funes Mori",4
"Saido Berahino",4
"Son Heung-Min",4
"Steve Cook",4
"Steven Fletcher",4
"Steven Naismith",4
"Toby Alderweireld",4
"Wes Hoolahan",4
"Wilfried Bony",4
"Aleksandar Kolarov",3
"Ander Herrera",3
"Cameron Jerome",3
"Charlie Daniels",3
"Craig Gardner",3
"Dan Gosling",3
"Duncan Watmore",3
"Dwight Gayle",3
"Eric Dier",3
"Glenn Murray",3
"James Morrison",3
"Jeremain Lens",3
"Joel Campbell",3
"Jonny Howson",3
"Junior Stanislas",3
"Marc Pugh",3
"Mauro Zárate",3
"Mousa Dembélé",3
"Nacer Chadli",3
Oscar,3
"Papiss Demba Cissé",3
"Robbie Brady",3
"Robert Huth",3
"Russell Martin",3
"Virgil van Dijk",3
"Xherdan Shaqiri",3
"Aaron Cresswell",2
"Adam Johnson",2
"Adam Smith",2
"Alberto Paloschi",2
"Alex Iwobi",2
"Alexander Tettey",2
"Almen Abdi",2
"Andy King",2
"Ashley Westwood",2
"Ashley Williams",2
"Bakary Sako",2
"Ben Watson",2
"Bertrand Traoré",2
"Branislav Ivanovic",2
"Carl Jenkinson",2
"Carles Gil",2
"César Azpilicueta",2
"Damien Delaney",2
"Daniel Drinkwater",2
"Danny Ings",2
"Daryl Janmaat",2
"David Silva",2
"Fabian Delph",2
Fernandinho,2
Fernando,2
"Gary Cahill",2
"Gerard Deulofeu",2
"Giannelli Imbula",2
"Ibrahim Afellay",2
"Jamaal Lascelles",2
"James McArthur",2
"James McCarthy",2
"James McClean",2
"James Ward-Prowse",2
"Jason Puncheon",2
"Joe Allen",2
"Joel Ward",2
"Jordan Henderson",2
"José Fonte",2
"Ki Sung-yueng",2
"Lamine Koné",2
"Leighton Baines",2
"Marc Albrighton",2
"Memphis Depay",2
"Nemanja Matic",2
Ramires,2
"Samir Nasri",2
"Scott Sinclair",2
"Sebastian Prödl",2
"Stéphane Sessegnon",2
"Tom Cleverley",2
"Vincent Kompany",2
"Wahbi Khazri",2
"Wayne Routledge",2
"Wes Morgan",2
"Wilfried Zaha",2
"Adnan Januzaj",1
"Alberto Moreno",1
"Alex Oxlade-Chamberlain",1
"Alexandre Pato",1
"Ashley Young",1
"Bastian Schweinsteiger",1
"Billy Jones",1
"Charlie Adam",1
"Charlie Austin",1
"Ciaran Clark",1
"Craig Cathcart",1
"Cuco Martina",1
"Daley Blind",1
"Dame N'Doye",1
"Danny Rose",1
"Darren Fletcher",1
"Emmanuel Adebayor",1
"Emre Can",1
"Fabricio Coloccini",1
Falcao,1
"Federico Fernández",1
Gabriel,1
"Gabriel Agbonlahor",1
"Gareth McAuley",1
"Harry Arter",1
"Héctor Bellerín",1
"Jack Colback",1
"Jack Cork",1
"Jack Grealish",1
"Jack Rodwell",1
"Jeffrey Schlupp",1
"Joe Ledley",1
"John Terry",1
"Joleon Lescott",1
"Jonas Olsson",1
"Jonjo Shelvey",1
"Jonny Evans",1
"Jordon Ibe",1
Kenedy,1
"Kieran Gibbs",1
"Kieran Trippier",1
"Kolo Touré",1
"Kurt Zouma",1
"Kyle Walker",1
"Leandro Bacuna",1
"Lee Chung-yong",1
"Lewis Grabban",1
"Loïc Remy",1
"Mamadou Sakho",1
"Marouane Fellaini",1
"Martin Olsson",1
"Martin Skrtel",1
"Matteo Darmian",1
"Matthew Jarvis",1
"Max Gradel",1
"Maya Yoshida",1
"Micah Richards",1
"Miguel Layún",1
"Modibo Maiga",1
"Modou Barrow",1
"Morgan Schneiderlin",1
"Moussa Sissoko",1
"N'Golo Kanté",1
"Nathan Aké",1
"Nathan Dyer",1
"Nathaniel Clyne",1
"Nicolás Otamendi",1
"Nikica Jelavic",1
"Oriol Romeu",1
"Paul Dummett",1
"Rickie Lambert",1
"Ritchie de Laet",1
"Rolando Aarons",1
"Ruben Loftus-Cheek",1
"Ryan Bertrand",1
"Ryan Mason",1
"Seamus Coleman",1
"Sebastien Bassong",1
"Steven Whittaker",1
"Timm Klose",1
"Tom Carroll",1
"Tommy Elphick",1
"Victor Moses",1
"Victor Wanyama",1
"Vurnon Anita",1
"Winston Reid",1
"Yann M'Vila",1
"Abdul Rahman Baba",0
"Adam Bogdan",0
"Adam Federici",0
"Adam Matthews",0
"Adama Traoré",0
"Adlène Guédioura",0
"Adrian Mariappa",0
"Adrián",0
"Aiden McGeady",0
"Alan Hutton",0
"Aleix García",0
"Alessandro Diamanti",0
"Alex McCarthy",0
"Alex Palmer",0
"Alex Pritchard",0
"Alexandre Song",0
"Aly Cissokho",0
"Anders Lindegaard",0
"Andre Green",0
"Andre Wisdom",0
"Andreas Pereira",0
"Andrej Kramaric",0
"Andrew Surman",0
"Angel Rangel",0
Angelino,0
"Angelo Ogbonna",0
"Antonio Valencia",0
"Artur Boruc",0
"Asmir Begovic",0
"Axel Tuanzebe",0
"Bacary Sagna",0
"Baily Cargill",0
"Ben Chilwell",0
"Ben Davies",0
"Ben Foster",0
"Bersant Celina",0
"Boaz Myhill",0
"Brad Guzan",0
"Brad Smith",0
"Bradley Johnson",0
"Brandon Barker",0
"Brede Hangeland",0
"Brendan Galloway",0
"Brown Ideye",0
"Bryan Oviedo",0
"Callum Connolly",0
"Callum McManaman",0
"Callum Williams",0
"Calum Chambers",0
"Cameron Borthwick-Jackson",0
"Cameron Brannagan",0
"Cameron Humphreys-Grant",0
"Carlos Sánchez",0
"Chancel Mbemba",0
"Charles N'Zogbia",0
"Charlie Colkett",0
"Cheick Tioté",0
Chicharito,0
"Chris Brunt",0
"Chris Smalling",0
"Christian Fuchs",0
"Claudio Yacob",0
"Clinton N'Jie",0
"Connor Dymond",0
"Connor Randall",0
"Conor McAleny",0
"Corey Jordan",0
"Costel Pantilimon",0
"Cristian Gamboa",0
"Cédric Soares",0
"Daniel Amartey",0
"Daniel Bachmann",0
"Daniel Barlaser",0
"Daniel Pudil",0
"Danny Graham",0
"Danny Simpson",0
"Danny Ward",0
"Darren Randolph",0
"Darron Gibson",0
"David Ospina",0
"David de Gea",0
"DeAndre Yedlin",0
"Dean Hammond",0
"Declan Rudd",0
"Dejan Lovren",0
"Demarai Gray",0
"Diego Poyet",0
"Dionatan Teixeira",0
"Djair Parfitt-Williams",0
"Donald Love",0
"Doneil Henry",0
Eder,0
"Eliaquim Mangala",0
"Elliot Lee",0
"Emanuele Giaccherini",0
"Emmanuel Emenike",0
"Emmanuel Rivière",0
"Erik Pieters",0
"Etienne Capoue",0
"Eunan O'Kane",0
"Federico Fazio",0
"Fernando Forestieri",0
"Fikayo Tomori",0
"Florian Thauvin",0
"Fraizer Campbell",0
"Francis Coquelin",0
"Franck Tabanou",0
"Fraser Forster",0
"Freddie Woodman",0
"Gabriel Obertan",0
"Gabriele Angella",0
"Gareth Barry",0
"Gary Hooper",0
"Gary O'Neil",0
"Gastón Ramírez",0
"Gaël Clichy",0
"Geoff Cameron",0
"George Dobson",0
"George Evans",0
"George Honeyman",0
"Gerhard Tremmel",0
"Giedrius Arlauskis",0
"Glen Johnson",0
"Glenn Whelan",0
"Graham Dorrans",0
"Guillermo Varela",0
"Gökhan Inler",0
"Harrison Reed",0
"Harry Winks",0
"Henri Saivet",0
"Heurelho Gomes",0
"Hiram Boateng",0
"Hugo Lloris",0
"Idrissa Gueye",0
"Ikechi Anya",0
"Ivan Toney",0
"Ivo Pinto",0
"Jack Butland",0
"Jack Rose",0
"Jack Wilshere",0
"Jake Clarke-Salter",0
"Jake Gray",0
"Jakob Haugaard",0
"Jamal Blackman",0
"James Chester",0
"James Collins",0
"James Horsfield",0
"James Tomkins",0
"James Weir",0
"James Wilson",0
"Jamie Sterry",0
"Jan Kirchhoff",0
"Jan Vertonghen",0
"Jason Denayer",0
"Jay Fulton",0
"Jay Rodriguez",0
"Jeff Reine-Adelaide",0
"Jefferson Montero",0
"Jerome Sinclair",0
"Jesús Navas",0
"Jindrich Stanek",0
"Joe Bennett",0
"Joe Cole",0
"Joe Hart",0
"Joe Riley",0
"Joe Rothwell",0
"Joel Robles",0
"Joey O'Brien",0
"John O'Shea",0
"John Obi Mikel",0
"John Ruddy",0
"John Stones",0
"Jon Flanagan",0
"Jonathan Leko",0
"Jonathan Williams",0
"Jonjoe Kenny",0
"Jonny Maddison",0
"Jordan Amavi",0
"Jordan Holmes",0
"Jordan Lyden",0
"Jordan Pickford",0
"Jordan Rossiter",0
"Jordan Veretout",0
"Jordi Amat",0
"Jordi Gómez",0
"Jordon Mutch",0
"Jordy Clasie",0
"Jores Okore",0
"Joseph Dodoo",0
"Joseph Gomez",0
"Josh Cullen",0
"Josh Onomah",0
"Josh Vickers",0
"José Holebas",0
"José Ángel Crespo",0
"João Teixeira",0
"Juan Carlos Paredes",0
"Juan Cuadrado",0
"Juan Iturbe",0
Juanmi,0
"Julian Speroni",0
Jurado,0
"Karl Darlow",0
"Kasey Palmer",0
"Kasper Schmeichel",0
"Keinan Davis",0
"Kelvin Davis",0
"Kenji Gorré",0
"Kevin Mbabu",0
"Kevin Nolan",0
"Kevin Stewart",0
"Kevin Toner",0
"Kevin Wimmer",0
"Kieran Dowell",0
"Kieran Richardson",0
"Kristoffer Nordfeldt",0
"Kyle Bartley",0
"Kyle Knoyle",0
"Kyle Lafferty",0
"Kyle Naughton",0
